team,city,country
Kalev Ülemiste,Tallinn,Estonia
Kalev Kopli,Tallinn,Estonia
Polizei SV Dorpat,Tartu,Estonia
Tartu Olümpia,Tartu,Estonia
Inkaras Kaunas,Kaunas,Lithuania
Romar Mažeikiai,Mažeikiai,Lithuania
Sirijus Klaipeda,Klaipeda,Lithuania
Banga Kaunas,Kaunas,Lithuania
FK Tauras Tauragė,Tauragė,Lithuania
FK Granitas Klaipeda,Klaipeda,Lithuania
Atmosfera Mažeikiai,Mažeikiai,Lithuania
Statybininkas Šiauliai,Šiauliai,Lithuania
Tauras Šiauliai,Šiauliai,Lithuania
FK Nevėžis,Kėdainiai,Lithuania
Atletas Kaunas,Kaunas,Lithuania
Inkaras Kaunas,Kaunas,Lithuania
Statyba Panevezys,Panevėžys,Lithuania
Atletas Kaunas,Kaunas,Lithuania
Linų Audiniai Plungė,Plungė,Lithuania
Raudonoji Zvaigzde,Vilnius,Lithuania
Lima Kaunas,Kaunas,Lithuania
Elnias Siauliai,Šiauliai,Lithuania
Dinamo Kaunas,Kaunas,Lithuania
Spartakas Kaunas,Kaunas,Lithuania
LGSF Kauen,Kaunas,Lithuania
SC Kovas Kauen,Kaunas,Lithuania
Maisto SK Kauen,Kaunas,Lithuania
Tauras Kaunas,Kaunas,Lithuania
RAF Jelgava,Jelgava,Latvia
FK Alfa,Riga,Latvia
Elektrons Rīga,Riga,Latvia
Kimiks Daugavpils,Daugavpils,Latvia
Venta Ventspils,Ventspils,Latvia
Starts Brocēni,Saldus,Latvia
SM Liepaja,Liepāja,Latvia
Armijas Virsnieku Nams Rīga,Riga,Latvia
Atletiskais SK Rīga,Riga,Latvia
Olimpija Liepaja,Liepāja,Latvia
Etar Tarnovo,Veliko Tarnovo,Bulgaria
PFC Beroe,Stara Zagora,Bulgaria
Botev Plovdiv,Plovdiv,Bulgaria
Spartak Plovdiv,Plovdiv,Bulgaria
Ticha Varna,Varna,Bulgaria
SC Ticha Varna,Varna,Bulgaria
Trabzonspor,Trabzon,Turkey
KF Teuta Durrës,Durrës,Albania
FK Partizani,Tirana,Albania
KS Flamurtari Vlorë,Vlorë,Albania
KS Labinoti Elbasan,Elbasan,Albania
Čelik Zenica,Zenica,Bosnia
Ararat-Armenia,Yerevan,Armenia
PFK Turan Tavuz,Tovuz,Azerbaijan
Olympiakos Nikosia,Nicosia,Cyprus
Pezoporikos Larnaca,Larnaca,Cyprus
Çetinkaya TSK,Nicosia,Cyprus
Trast Nikosia,Nicosia,Cyprus
Avenir Beggen,Luxembourg City,Luxembourg
Union Luxembourg,Luxembourg City,Luxembourg
Spora Luxemburg,Luxembourg City,Luxembourg
Progrès Niedercorn,Niederkorn,Luxembourg
Red Boys Differdange,Differdange,Luxembourg
Aris Bonnevoie,Luxembourg City,Luxembourg
Stade Dudelange,Dudelange,Luxembourg
Spora Luxemburg,Luxembourg City,Luxembourg
The National Schifflange,Schifflingen,Luxembourg
RFCU Luxemburg,Luxembourg City,Luxembourg
SC Luxembourg,Luxembourg City,Luxembourg
Floriana FC,Floriana,Malta
Hamrun Spartans,Hamrun,Malta
Rabat Ajax,Rabat,Malta
KOMR Milizia,Valletta,Malta
St. George's FC,Cospicua,Malta
Kuopion PS,Kuopio,Finland
IFK Mariehamn,Mariehamn,Finland
SJK Seinäjoki,Seinäjoki,Finland
Inter Turku,Turku,Finland
Tampere United,Tampere,Finland
MyPa Anjalankoski,Kouvola,Finland
Haka Valkeakoski,Valkeakoski,Finland
FC Jazz Pori,Pori,Finland
TPV Tampere,Tampere,Finland
FC Kuusysi,Lahti,Finland
Ilves Tampere,Tampere,Finland
OPS Oulu,Oulu,Finland
TPS Turku,Turku,Finland
FC Reipas Lahti,Lahti,Finland
KPV Kokkola,Kokkola,Finland
Helsingfors IFK,Helsinki,Finland
Pyrkivä Turku,Turku,Finland
VIFK Vaasa,Vaasa,Finland
Kotkan TP II,Kotka,Finland
Ilves-Kissat,Tampere,Finland
Vaasan PS,Vaasa,Finland
Sudet Viipuri,Kouvola,Finland
ÅIFK Turku,Turku,Finland
